RESPID,StartDate,StartTime,EndDate,EndTime,VER,VER2,VER3,VER4,QAREA,S1,S2,D100,D101,Q1,P1X,P1Y,A2,Q3,Q4,Q5,Q6,Q7,A8,B8,Q9,A10,B10,V1,B11,Q12,A13,B13,V2,E14,Q15,Q16,Q17,Q18,V3,Q19,V4,Q20,G21,H21,G22,H22,Q23,Q24,Q25,Q26,V5,Q27,D102,D300,D301,D105,D130,Q28,D106,D112,VF_DATA
110022,7/9/2018,4:58 PM,7/9/2018,5:10 PM,1,1,2,2,4,1,1,2,1928,3,3,,3,1,4,1,6,2,4,,6,4,,3,,2,1,,3,,3,3,3,3,3,1,3,2,,2,,2,2,2,3,2,3,4,2,2,2,5,4,,5,2,AGE=90;SEX=F;CF=0;REGNUM=4;BEST_PHONE=land;TSCORE=87;PSCORE=1;G2016=M;DENSITY=3;COUNTY=WALLA WALLA;AGENTNUM=4535
110027,7/9/2018,5:01 PM,7/9/2018,5:24 PM,1,1,1,2,4,1,2,1,1935,2,5,2,3,1,6,1,4,1,1,,2,4,,3,,2,3,,3,3,3,3,3,3,3,1,3,2,,3,,3,3,3,3,3,3,13,3,2,2,5,4,,1,2,AGE=83;SEX=M;CF=0;REGNUM=4;BEST_PHONE=land;TSCORE=95;PSCORE=10;G2016=M;DENSITY=3;COUNTY=WALLA WALLA;AGENTNUM=4247
110028,7/9/2018,5:02 PM,7/9/2018,5:20 PM,1,1,2,2,2,1,1,2,1940,2,5,3,1,5,1,7,6,7,7,,5,7,,1,,3,1,,1,,1,1,1,2,1,3,1,1,,4,,3,3,2,1,2,1,13,1,2,2,3,4,,1,2,AGE=78;SEX=F;CF=0;REGNUM=2;BEST_PHONE=land;TSCORE=95;PSCORE=1;G2016=M;DENSITY=3;COUNTY=SPOKANE;AGENTNUM=4685
110029,7/9/2018,5:03 PM,7/9/2018,5:15 PM,2,2,1,1,4,1,1,1,1965,2,3,,,1,6,1,4,1,,4,1,,1,3,2,3,,2,3,3,2,3,3,1,3,1,3,2,3,,3,,3,3,2,3,3,13,5,2,2,4,1,1;2;3;4,2,2,AGE=53;SEX=M;CF=0;REGNUM=4;BEST_PHONE=land;TSCORE=96;PSCORE=3;G2016=M;DENSITY=1;COUNTY=WHITMAN;AGENTNUM=4413
110033,7/9/2018,5:09 PM,7/9/2018,5:26 PM,2,1,2,1,1,1,1,2,1926,2,1,,,3,2,3,1,4,,2,3,,3,1,1,1,,2,1,,1,1,3,1,1,3,1,1,1,,1,,1,1,1,1,1,12,4,2,2,2,4,,5,2,AGE=92;SEX=F;CF=0;REGNUM=1;BEST_PHONE=land;TSCORE=89;PSCORE=97;G2016=M;DENSITY=5;COUNTY=SPOKANE;AGENTNUM=4614
110037,7/9/2018,5:11 PM,7/9/2018,5:31 PM,2,2,2,1,4,1,1,2,1943,2,5,2,,3,3,1,5,2,,4,3,,2,3,1,2,,2,3,,3,3,3,3,3,1,3,2,3,,3,,3,3,3,3,3,13,4,2,2,3,2,1;2;3,1,2,AGE=75;SEX=F;CF=0;REGNUM=4;BEST_PHONE=land;TSCORE=96;PSCORE=7;G2016=M;DENSITY=1;COUNTY=STEVENS;AGENTNUM=2789
110038,7/9/2018,5:13 PM,7/9/2018,5:30 PM,1,2,2,2,4,1,1,1,1957,3,5,3,1,3,5,7,6,1,2,,3,4,,2,,3,1,,2,,1,1,1,1,2,2,1,2,,1,,2,3,1,2,2,1,12,5,2,2,3,3,1;2;3;4,4,2,AGE=61;SEX=M;CF=0;REGNUM=4;BEST_PHONE=land;TSCORE=87;PSCORE=26;G2016=M;DENSITY=1;COUNTY=WHITMAN;AGENTNUM=4682
110039,7/9/2018,5:13 PM,7/9/2018,5:26 PM,2,2,1,1,1,1,2,2,1943,3,1,,,3,5,4,2,5,,2,4,,4,1,1,1,,2,1,1,1,1,1,1,1,3,1,1,1,,1,,1,1,1,1,1,7,2,2,2,3,4,,1,2,AGE=75;SEX=F;CF=0;REGNUM=1;BEST_PHONE=land;TSCORE=94;PSCORE=99;G2016=M;DENSITY=5;COUNTY=SPOKANE;AGENTNUM=4442
110040,7/9/2018,5:15 PM,7/9/2018,5:30 PM,2,1,1,1,4,1,2,1,1938,2,1,,,4,2,4,2,5,,2,4,,3,1,1,1,,3,1,1,1,1,1,1,1,3,1,1,1,,1,,1,1,1,1,1,2,7,2,2,3,1,2;3,1,2,AGE=80;SEX=M;CF=0;REGNUM=4;BEST_PHONE=land;TSCORE=96;PSCORE=98;G2016=M;DENSITY=3;COUNTY=ASOTIN;AGENTNUM=4409
110044,7/9/2018,5:17 PM,7/9/2018,5:35 PM,2,1,1,2,4,1,1,1,1930,2,5,1,,4,1,4,5,4,,2,4,,3,1,1,1,,2,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,2,2,2,2,4,1,1,1,2,AGE=88;SEX=M;CF=0;REGNUM=4;BEST_PHONE=land;TSCORE=93;PSCORE=97;G2016=M;DENSITY=1;COUNTY=LINCOLN;AGENTNUM=4611
110045,7/9/2018,5:19 PM,7/9/2018,5:39 PM,1,1,2,1,3,1,3,2,1936,1,5,2,3,1,3,1,5,1,7,,2,3,,3,,3,3,,3,,3,3,3,3,3,1,3,2,3,,3,,2,4,3,3,3,12,5,2,2,3,2,4,1,2,AGE=82;SEX=F;CF=0;REGNUM=3;BEST_PHONE=land;TSCORE=70;PSCORE=5;G2016=;DENSITY=2;COUNTY=SPOKANE;AGENTNUM=4404
110046,7/9/2018,5:19 PM,7/9/2018,5:37 PM,1,1,1,2,4,1,1,1,1961,2,1,,1,4,2,4,1,4,1,,4,1,,1,,1,1,,1,1,1,1,1,1,1,3,1,1,,1,,1,1,1,1,1,1,1,5,2,2,1,2,4,2,2,AGE=57;SEX=M;CF=0;REGNUM=4;BEST_PHONE=land;TSCORE=68;PSCORE=81;G2016=M;DENSITY=3;COUNTY=ASOTIN;AGENTNUM=4413
110047,7/9/2018,5:23 PM,7/9/2018,5:44 PM,1,2,2,1,3,1,2,1,1972,2,3,,3,1,2,1,3,1,2,,1,4,,3,,2,3,,3,,3,3,3,3,3,1,3,2,3,,3,,3,3,3,3,3,13,5,3,,5,2,1,3,2,AGE=46;SEX=M;CF=0;REGNUM=3;BEST_PHONE=land;TSCORE=87;PSCORE=3;G2016=M;DENSITY=2;COUNTY=SPOKANE;AGENTNUM=4418
110048,7/9/2018,5:23 PM,7/9/2018,5:34 PM,2,2,2,2,3,1,1,2,1951,1,1,,,4,1,4,1,4,,1,4,,4,1,1,1,,1,1,,1,1,1,1,1,3,1,1,,1,,1,1,1,1,1,1,13,6,2,2,1,4,,1,2,AGE=67;SEX=F;CF=0;REGNUM=3;BEST_PHONE=land;TSCORE=96;PSCORE=99;G2016=M;DENSITY=4;COUNTY=SPOKANE;AGENTNUM=4685
110053,7/9/2018,5:27 PM,7/9/2018,5:43 PM,1,2,2,1,4,1,1,1,1944,3,3,,3,4,4,1,2,1,4,,1,4,,3,,1,3,,5,,1,1,1,1,5,1,5,2,1,,1,,1,1,1,1,5,10,2,2,2,3,3,3;4,1,2,AGE=74;SEX=M;CF=0;REGNUM=4;BEST_PHONE=land;TSCORE=83;PSCORE=45;G2016=M;DENSITY=3;COUNTY=ASOTIN;AGENTNUM=4614
110057,7/9/2018,5:31 PM,7/9/2018,5:46 PM,2,1,2,1,4,1,1,2,1947,2,3,,,2,4,4,5,1,,4,5,,2,3,2,2,,2,3,,3,3,3,3,3,3,3,2,3,,3,,3,3,3,3,3,12,4,2,2,3,4,,1,2,AGE=71;SEX=F;CF=0;REGNUM=4;BEST_PHONE=land;TSCORE=97;PSCORE=2;G2016=M;DENSITY=1;COUNTY=FERRY;AGENTNUM=4409
110060,7/9/2018,5:33 PM,7/9/2018,5:53 PM,1,2,1,1,4,1,1,2,1956,2,3,,3,4,5,4,3,4,4,,2,4,,2,,1,1,,2,1,1,1,1,1,2,1,2,2,1,,1,,1,1,1,1,2,4,7,2,2,4,3,1;2;3;4,1,2,AGE=62;SEX=F;CF=0;REGNUM=4;BEST_PHONE=land;TSCORE=94;PSCORE=3;G2016=M;DENSITY=3;COUNTY=WALLA WALLA;AGENTNUM=2789
110061,7/9/2018,5:33 PM,7/9/2018,5:48 PM,2,2,2,1,4,1,1,1,1953,2,3,,,2,3,2,2,2,,4,2,,2,3,1,2,,2,3,,3,3,3,3,3,2,3,2,3,,3,,3,3,3,3,3,10,2,2,2,4,1,5,1,2,AGE=65;SEX=M;CF=0;REGNUM=4;BEST_PHONE=land;TSCORE=90;PSCORE=34;G2016=M;DENSITY=2;COUNTY=WALLA WALLA;AGENTNUM=4442
110064,7/9/2018,5:34 PM,7/9/2018,5:45 PM,2,2,2,2,4,1,1,1,1978,1,3,,,1,6,2,6,1,,4,2,,4,3,1,1,,2,3,,1,3,3,3,3,2,3,2,,3,,3,3,3,3,3,3,13,7,2,2,4,1,1;2;3,1,1,AGE=40;SEX=M;CF=1;REGNUM=4;BEST_PHONE=append;TSCORE=79;PSCORE=12;G2016=;DENSITY=2;COUNTY=ASOTIN;AGENTNUM=4535
110067,7/9/2018,5:36 PM,7/9/2018,5:51 PM,2,1,2,2,4,1,1,2,1944,3,5,3,,3,2,4,1,3,,4,3,,4,1,1,1,,2,1,,4,1,1,1,1,3,1,1,,1,,1,3,3,3,3,1,12,7,2,2,2,2,3;4,1,2,AGE=74;SEX=F;CF=0;REGNUM=4;BEST_PHONE=land;TSCORE=95;PSCORE=32;G2016=M;DENSITY=1;COUNTY=LINCOLN;AGENTNUM=4682
110068,7/9/2018,5:37 PM,7/9/2018,5:54 PM,2,2,2,1,2,1,1,1,1951,2,3,,,1,4,1,4,1,,4,4,,1,3,2,2,,2,3,,2,2,2,2,3,1,3,2,3,,3,,3,3,3,3,3,13,4,2,2,5,1,1;3,1,2,AGE=67;SEX=M;CF=0;REGNUM=2;BEST_PHONE=land;TSCORE=96;PSCORE=7;G2016=M;DENSITY=4;COUNTY=SPOKANE;AGENTNUM=4247
110070,7/9/2018,5:38 PM,7/9/2018,5:54 PM,2,2,1,1,3,1,1,2,1974,2,3,,,1,3,1,3,1,,4,1,,2,3,2,2,,2,3,3,3,3,3,3,3,1,3,2,3,,3,,3,3,3,3,3,12,6,2,2,5,4,,1,1,AGE=44;SEX=F;CF=0;REGNUM=3;BEST_PHONE=land;TSCORE=61;PSCORE=26;G2016=M;DENSITY=2;COUNTY=SPOKANE;AGENTNUM=4544
110077,7/9/2018,5:46 PM,7/9/2018,6:12 PM,2,1,1,2,4,1,2,1,1954,4,5,1,,1,6,1,6,2,,6,5,,2,3,2,2,,2,5,1,2,1,2,1,2,2,5,3,,1,,4,1,1,1,1,5,7,2,2,2,3,4,,3,2,AGE=64;SEX=M;CF=0;REGNUM=4;BEST_PHONE=land;TSCORE=89;PSCORE=60;G2016=M;DENSITY=1;COUNTY=FERRY;AGENTNUM=4685
110082,7/9/2018,5:49 PM,7/9/2018,6:12 PM,1,1,1,2,4,1,1,2,1935,1,5,1,5,1,5,1,6,3,2,,5,7,,3,,1,1,,3,3,4,1,1,1,2,1,3,2,,1,,1,1,1,1,1,1,4,1,2,2,5,2,3,1,2,AGE=83;SEX=F;CF=0;REGNUM=4;BEST_PHONE=land;TSCORE=86;PSCORE=5;G2016=M;DENSITY=1;COUNTY=WHITMAN;AGENTNUM=4404
110086,7/9/2018,5:53 PM,7/9/2018,6:03 PM,2,2,1,1,1,1,2,2,1943,1,1,,,4,1,4,1,4,,3,4,,4,1,1,1,,1,1,1,3,1,1,1,1,3,1,1,3,,3,,3,3,3,3,1,13,4,2,2,2,4,,1,2,AGE=75;SEX=F;CF=0;REGNUM=1;BEST_PHONE=land;TSCORE=96;PSCORE=97;G2016=M;DENSITY=5;COUNTY=SPOKANE;AGENTNUM=4409
110089,7/9/2018,5:56 PM,7/9/2018,6:16 PM,1,2,1,2,3,1,1,1,1923,4,5,2,3,2,3,7,5,4,4,,4,3,,3,,2,1,,3,1,4,4,4,2,3,3,3,3,,4,,4,4,3,4,3,3,8,7,99,,4,1,4,1,2,AGE=94;SEX=F;CF=0;REGNUM=3;BEST_PHONE=land;TSCORE=87;PSCORE=14;G2016=M;DENSITY=4;COUNTY=SPOKANE;AGENTNUM=4611
110092,7/9/2018,5:57 PM,7/9/2018,6:11 PM,2,1,1,2,3,1,1,1,1952,1,5,3,,4,1,4,1,3,,3,4,,4,1,1,1,,2,1,1,1,1,1,1,1,3,1,1,,1,,1,1,1,1,1,1,1,5,2,2,3,3,1,1,2,AGE=66;SEX=M;CF=0;REGNUM=3;BEST_PHONE=land;TSCORE=93;PSCORE=39;G2016=M;DENSITY=2;COUNTY=SPOKANE;AGENTNUM=4413
110093,7/9/2018,5:57 PM,7/9/2018,6:18 PM,1,1,2,1,2,1,1,1,1928,2,1,,2,6,5,4,6,1,5,,5,2,,5,,1,3,,1,,1,1,1,1,1,3,1,1,1,,3,,2,1,2,1,1,8,7,99,,1,5,,5,2,AGE=90;SEX=M;CF=0;REGNUM=2;BEST_PHONE=land;TSCORE=90;PSCORE=98;G2016=M;DENSITY=4;COUNTY=SPOKANE;AGENTNUM=2789
110100,7/9/2018,6:02 PM,7/9/2018,6:16 PM,2,1,1,1,2,1,1,1,1964,1,3,,,1,4,1,4,1,,4,2,,2,3,1,2,,2,3,3,3,3,3,3,3,1,3,2,3,,3,,3,3,3,3,3,13,2,2,2,4,3,1;2;3,1,2,AGE=54;SEX=M;CF=0;REGNUM=2;BEST_PHONE=land;TSCORE=82;PSCORE=14;G2016=M;DENSITY=4;COUNTY=SPOKANE;AGENTNUM=4614
110105,7/9/2018,6:05 PM,7/9/2018,6:21 PM,1,1,1,1,4,1,1,2,1968,1,3,,3,1,4,1,4,7,4,,1,4,,3,,2,3,,3,3,3,3,3,3,4,3,3,2,1,,1,,1,1,1,2,3,4,4,2,2,5,1,6,1,2,AGE=57;SEX=F;CF=1;REGNUM=4;BEST_PHONE=good_wireless;TSCORE=76;PSCORE=5;G2016=M;DENSITY=1;COUNTY=FERRY;AGENTNUM=3682
110106,7/9/2018,6:06 PM,7/9/2018,6:20 PM,2,2,2,1,1,1,2,3,1994,3,5,3,,6,6,4,6,6,,6,6,,3,5,1,1,,2,3,,2,1,1,2,1,2,1,3,4,,4,,1,1,1,1,1,10,2,2,2,4,2,3,1,2,AGE=24;SEX=F;CF=0;REGNUM=1;BEST_PHONE=land;TSCORE=83;PSCORE=38;G2016=M;DENSITY=4;COUNTY=SPOKANE;AGENTNUM=4442
110108,7/9/2018,6:10 PM,7/9/2018,6:34 PM,2,1,2,1,1,1,1,2,1950,3,6,2,,1,4,4,6,2,,4,4,,3,3,3,1,,1,3,,3,3,3,3,3,1,3,2,3,,3,,3,3,3,3,3,13,7,2,2,3,4,,3,2,AGE=68;SEX=F;CF=0;REGNUM=1;BEST_PHONE=land;TSCORE=96;PSCORE=84;G2016=M;DENSITY=4;COUNTY=SPOKANE;AGENTNUM=4418
110109,7/9/2018,6:11 PM,7/9/2018,6:20 PM,2,1,1,2,2,1,1,2,1977,2,5,2,,1,4,1,1,1,,4,1,,1,3,2,2,,2,3,3,2,3,3,2,3,2,3,2,,3,,3,3,3,3,3,3,13,6,2,2,3,4,,4,1,AGE=44;SEX=F;CF=1;REGNUM=2;BEST_PHONE=good_wireless;TSCORE=48;PSCORE=35;G2016=M;DENSITY=1;COUNTY=SPOKANE;AGENTNUM=4535
110110,7/9/2018,6:12 PM,7/9/2018,6:28 PM,2,1,2,2,4,1,1,2,1982,3,3,,,7,6,1,6,1,,4,1,,1,4,3,2,,2,3,,4,4,3,1,3,1,3,2,,3,,1,3,1,1,3,3,13,6,97,2,5,1,5,1,1,AGE=36;SEX=F;CF=1;REGNUM=4;BEST_PHONE=append;TSCORE=30;PSCORE=35;G2016=M;DENSITY=1;COUNTY=COLUMBIA;AGENTNUM=4523
110111,7/9/2018,6:14 PM,7/9/2018,6:30 PM,1,1,1,2,2,1,1,2,1959,3,5,3,2,4,5,4,5,4,1,,2,3,,1,,1,1,,3,1,3,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,3,1,2,2,3,4,,1,2,AGE=59;SEX=F;CF=0;REGNUM=2;BEST_PHONE=land;TSCORE=93;PSCORE=41;G2016=M;DENSITY=1;COUNTY=SPOKANE;AGENTNUM=4247
110115,7/9/2018,6:15 PM,7/9/2018,6:37 PM,2,2,1,1,4,1,1,2,1953,3,5,3,,2,6,2,6,2,,4,2,,3,5,3,2,,2,3,2,3,2,1,3,3,1,3,2,2,,2,,2,2,2,2,3,12,2,2,2,3,1,2;3,1,2,AGE=66;SEX=M;CF=0;REGNUM=4;BEST_PHONE=land;TSCORE=91;PSCORE=23;G2016=M;DENSITY=2;COUNTY=WALLA WALLA;AGENTNUM=4409
110116,7/9/2018,6:16 PM,7/9/2018,6:33 PM,2,2,2,1,1,1,1,2,1956,2,3,,,1,3,1,3,2,,4,2,,2,3,2,2,,2,3,,3,3,3,3,3,1,3,2,3,,3,,3,3,3,3,3,13,4,2,2,5,2,1;2,1,2,AGE=62;SEX=F;CF=0;REGNUM=1;BEST_PHONE=land;TSCORE=96;PSCORE=1;G2016=M;DENSITY=4;COUNTY=SPOKANE;AGENTNUM=3600
110118,7/9/2018,6:19 PM,7/9/2018,6:38 PM,2,2,1,1,4,1,1,2,1956,3,4,,,2,5,4,2,3,,2,2,,3,3,3,1,,2,3,2,2,3,3,1,3,3,3,2,1,,2,,2,2,2,3,3,9,3,2,2,4,3,1;2;3,1,2,AGE=62;SEX=F;CF=0;REGNUM=4;BEST_PHONE=land;TSCORE=96;PSCORE=2;G2016=M;DENSITY=1;COUNTY=FERRY;AGENTNUM=2789
110119,7/9/2018,6:19 PM,7/9/2018,6:33 PM,1,1,2,1,3,1,1,2,1937,3,1,,1,4,3,4,6,4,1,,3,3,,5,,1,1,,5,,1,1,1,1,5,4,5,1,1,,1,,1,1,1,1,5,12,2,2,2,6,4,,5,2,AGE=81;SEX=F;CF=0;REGNUM=3;BEST_PHONE=land;TSCORE=89;PSCORE=99;G2016=M;DENSITY=3;COUNTY=SPOKANE;AGENTNUM=4614
110127,7/9/2018,6:23 PM,7/9/2018,6:40 PM,2,2,1,2,2,1,1,2,1950,3,1,,,4,1,4,1,4,,1,3,,4,1,1,1,,1,1,1,1,1,1,1,1,3,1,1,,1,,1,1,1,1,1,1,12,4,2,2,1,4,,1,2,AGE=68;SEX=F;CF=0;REGNUM=2;BEST_PHONE=bad_wireless;TSCORE=96;PSCORE=97;G2016=M;DENSITY=4;COUNTY=SPOKANE;AGENTNUM=4544
110131,7/9/2018,6:26 PM,7/9/2018,6:42 PM,1,1,2,2,1,1,1,2,1928,3,4,,3,7,3,1,7,1,2,,1,4,,3,,3,3,,3,,4,1,3,3,3,1,3,3,,4,,3,4,4,3,4,3,13,5,2,2,6,3,1,5,2,AGE=90;SEX=F;CF=0;REGNUM=1;BEST_PHONE=land;TSCORE=86;PSCORE=6;G2016=M;DENSITY=4;COUNTY=SPOKANE;AGENTNUM=4611
110133,7/9/2018,6:26 PM,7/9/2018,6:49 PM,2,1,1,1,1,1,1,1,1954,3,5,3,,1,4,2,3,2,,4,2,,2,3,2,2,,2,3,3,3,3,3,3,3,3,3,2,3,,3,,3,3,3,3,3,13,5,2,2,3,1,3,1,2,AGE=64;SEX=M;CF=0;REGNUM=1;BEST_PHONE=land;TSCORE=94;PSCORE=42;G2016=M;DENSITY=4;COUNTY=SPOKANE;AGENTNUM=4232
110134,7/9/2018,6:27 PM,7/9/2018,7:00 PM,2,2,2,2,1,1,1,2,1935,3,6,3,,4,3,3,6,2,,6,6,,7,2,1,3,,2,1,,1,1,1,2,1,4,1,3,,1,,1,1,1,3,1,1,13,7,2,2,4,4,,6,2,AGE=83;SEX=F;CF=0;REGNUM=1;BEST_PHONE=land;TSCORE=93;PSCORE=12;G2016=M;DENSITY=5;COUNTY=SPOKANE;AGENTNUM=4685
110138,7/9/2018,6:32 PM,7/9/2018,6:45 PM,1,1,1,1,3,1,3,1,1987,3,5,4,5,5,6,2,6,2,2,,7,4,,5,,3,2,,5,1,1,1,1,1,3,3,5,3,2,,1,,2,2,2,1,5,7,6,2,2,3,5,,1,1,AGE=31;SEX=M;CF=1;REGNUM=3;BEST_PHONE=append;TSCORE=48;PSCORE=73;G2016=M;DENSITY=3;COUNTY=SPOKANE;AGENTNUM=3682
110139,7/9/2018,6:33 PM,7/9/2018,6:47 PM,1,1,2,1,4,1,1,2,1923,1,1,,1,5,6,4,1,4,1,,4,1,,1,,1,1,,1,,1,1,1,1,1,3,1,1,1,,1,,1,1,1,1,1,10,2,2,2,6,4,,5,2,AGE=95;SEX=F;CF=0;REGNUM=4;BEST_PHONE=land;TSCORE=72;PSCORE=95;G2016=M;DENSITY=3;COUNTY=ASOTIN;AGENTNUM=4442
110141,7/9/2018,6:34 PM,7/9/2018,6:58 PM,1,2,1,1,1,1,1,1,1952,2,5,1,1,2,2,3,5,3,1,,5,2,,5,,1,1,,5,1,1,1,1,1,5,2,5,1,1,,1,,1,1,1,1,1,3,4,2,2,3,4,,3,2,AGE=66;SEX=M;CF=1;REGNUM=1;BEST_PHONE=append;TSCORE=89;PSCORE=69;G2016=M;DENSITY=5;COUNTY=SPOKANE;AGENTNUM=4426
110145,7/9/2018,6:37 PM,7/9/2018,7:01 PM,1,1,1,2,1,1,1,1,1937,3,2,,5,2,2,3,6,1,1,,7,7,,3,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,4,2,2,3,3,3,1,2,AGE=81;SEX=M;CF=0;REGNUM=1;BEST_PHONE=land;TSCORE=95;PSCORE=95;G2016=M;DENSITY=5;COUNTY=SPOKANE;AGENTNUM=4413
110148,7/9/2018,6:40 PM,7/9/2018,6:53 PM,2,1,2,2,2,1,1,2,1927,2,1,,,4,2,4,2,4,,1,3,,5,1,1,1,,2,1,,2,2,1,2,1,3,1,1,,1,,2,2,1,2,1,1,13,2,2,2,3,4,,1,2,AGE=91;SEX=F;CF=0;REGNUM=2;BEST_PHONE=land;TSCORE=75;PSCORE=88;G2016=M;DENSITY=4;COUNTY=SPOKANE;AGENTNUM=4409
110149,7/9/2018,6:42 PM,7/9/2018,6:57 PM,2,1,2,2,4,1,1,1,1943,3,3,,,2,4,1,5,1,,4,2,,3,3,2,2,,2,3,,3,3,3,3,3,1,3,2,,3,,3,3,3,3,3,3,12,2,2,2,5,4,,4,2,AGE=75;SEX=M;CF=0;REGNUM=4;BEST_PHONE=land;TSCORE=95;PSCORE=3;G2016=M;DENSITY=1;COUNTY=STEVENS;AGENTNUM=4404
